Name,Gender,purchasecount,profit
"Jürgen Richter",Male,28,16067.88
"Michael Hermes",Male,95,16063.4
"Richard Green",Male,30,15948.05
"Livio Castiglione",Male,30,15902.38
"Gary Jackson",Male,37,15901.25
"Florence Badger",Female,79,15882.64
"Michael Robertson",Male,80,15854.7
"Monty Harris",Male,38,15827.33
"Fabricia Escamilla",Female,26,15776.05
"Ricky Frazier",Male,35,15767.13
"Carol Wilson",Male,47,15755.68
"Lenora Hernandez",Female,53,15667.65
"Kathrin Maurer",Female,64,15656.82
"Claire Macdonald",Female,98,15652.87
"James Claudio",Male,63,15643.57
"Phillipp Weiß",Male,28,15623.79
"Leonard Moynihan",Male,68,15582.78
"Gerbrig Langezaal",Female,36,15573.34
"Jessika Neudorf",Female,47,15553.12
"Mary Grell",Female,27,15543.97
"Andrea McMurray",Female,67,15533.61
"Phyllis Speicher",Female,45,15452.47
"Ora Loera",Female,34,15394.3
"Augustyn Czerwinski",Male,19,15335.15
"William Templin",Male,64,15335.12
"David Thiele",Male,30,15328.76
"Marcos McMichael",Male,82,15320.33
"Kyle Askins",Male,24,15315.73
"William Dyar",Male,21,15310.97
"Katharine Main",Female,17,15310.29
"David Jackson",Male,60,15274.36
"Joshua Free",Male,42,15223.52
"Kate Berrick",Female,32,15200.68
"Madeline Sluss",Female,53,15181.98
"Roxie Minton",Female,38,15169.67
"Zosia Pawlowska",Female,28,15166.21
"Nancy Rowlett",Female,35,15164.86
"Scott Fullen",Male,25,15155.74
"Susan Schroeder",Female,53,15147.89
"Helena Miškovská",Female,59,15113.48
"Judith Eckman",Female,32,15094.92
"Ester Camacho",Female,22,15065.16
"Jett Power",Male,29,15053.52
"Carol Pringle",Female,33,15043.79
"Gilda Rizzo",Female,22,15032.54
"Makayla Hassall",Female,28,15017.45
"Taj Septimus",Male,14,15007.34
"Mackenzie Newell",Female,19,14997.57
"Yvonne Christiansen",Female,51,14977.19
"William Yu",Male,29,14970.98
"Sharon Daly",Female,34,14958.67
"Brenda Diehl",Female,25,14948.35
"Robert Smith",Male,73,14916.75
"Nour Walburg",Male,24,14910.02
"Jamie Gilbert",Male,75,14909.43
"Elias Gardemeister",Male,57,14873.03
"David Breton",Male,95,14792.13
"Ariel Robinson",Female,66,14776.75
"Adéla Perutková",Female,15,14764.06
"Jerry Kennison",Male,41,14701.67
"Fabrice Lamoureux",Male,123,14693.33
"Virgilio Trentino",Male,62,14669.75
"Keshia King",Female,58,14610.89
"Mario Šimunovic",Male,55,14568.09
"Donald Shelton",Male,56,14563.06
"Anthony Coy",Male,29,14526.94
"Jasper Glassop",Male,17,14506.24
"Catherine White",Female,56,14447.31
"Paul Ehrlichmann",Male,18,14408.14
"Fanchon Charette",Female,38,14342.95
"Reeta Nieminen",Female,40,14302.85
"Denise Smith",Female,64,14298.29
"Robert Wulf",Male,15,14249.98
"Christine Coe",Female,48,14230.06
"Al James",Male,60,14203.44
"Harold Ahmad",Male,14,14179.19
"Bradley McClain",Male,47,14174.62
"Nancy Gaston",Female,63,14132.32
"Jennie Wilkins",Female,7,14122.95
"Kenneth Black",Male,32,14096.51
"Richard Jensen",Male,18,14088.48
"Kathrin Gottschalk",Female,25,14077.59
"Sandra Hertz",Female,23,14039.12
"Elizabeth Smith",Female,66,14026.27
"Austin McAlpine",Male,26,13963.56
"John Bishop",Male,43,13932.49
"William Wilkerson",Male,39,13929.15
"Heather Henderson",Female,26,13909.67
"Colette Looney",Female,43,13885.03
"Victor Kristensen",Male,92,13845.64
"Kenneth Correa",Male,54,13807.19
"Dale Fowler",Male,33,13765.88
"Brittany Nauman",Female,33,13760.72
"Dorothy Folsom",Female,29,13733.02
"Victor Almeida",Male,43,13729.64
"Doug Dalton",Male,71,13700.69
"Ihab Luiting",Male,36,13690.31
"Lucila Yagi",Female,47,13662.43
"Arthur Messina",Male,31,13654.96
